stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
04_1_S16,STOP_04_1_S16,,20.984351,105.873923,,
04_1_S17,STOP_04_1_S17,,20.983117,105.877207,,
04_1_S18,STOP_04_1_S18,,20.981467,105.881373,,
04_1_S19,STOP_04_1_S19,,20.980367,105.885540,,
04_1_S20,STOP_04_1_S20,,20.976951,105.885940,,
04_1_S21,STOP_04_1_S21,,20.972468,105.880423,,
04_1_S22,STOP_04_1_S22,,20.966034,105.874757,,
04_1_S23,STOP_04_1_S23,,20.964684,105.866540,,
04_1_S24,STOP_04_1_S24,,20.965501,105.855357,,
04_1_S25,STOP_04_1_S25,,20.966268,105.844474,,
04_1_S26,STOP_04_1_S26,,20.965128,105.841673,,
04_1_S27,STOP_04_1_S27,,20.960314,105.842027,,
04_1_S28,STOP_04_1_S28,,20.965068,105.842058,,
04_2_S1,STOP_04_2_S1,,20.965068,105.842058,,
04_2_S2,STOP_04_2_S2,,20.965703,105.850335,,
04_2_S3,STOP_04_2_S3,,20.964492,105.858054,,
04_2_S4,STOP_04_2_S4,,20.963901,105.863674,,
04_2_S5,STOP_04_2_S5,,20.965851,105.875540,,
04_2_S6,STOP_04_2_S6,,20.972934,105.881590,,
04_2_S7,STOP_04_2_S7,,20.980267,105.886656,,
04_2_S8,STOP_04_2_S8,,20.981384,105.881690,,
04_2_S9,STOP_04_2_S9,,20.983051,105.877490,,
04_2_S10,STOP_04_2_S10,,20.984217,105.874390,,
04_2_S11,STOP_04_2_S11,,20.984984,105.872523,,
04_2_S12,STOP_04_2_S12,,20.987334,105.868057,,
04_2_S13,STOP_04_2_S13,,20.989084,105.865890,,
04_2_S14,STOP_04_2_S14,,20.994350,105.862640,,
04_2_S15,STOP_04_2_S15,,20.997700,105.861724,,
04_2_S16,STOP_04_2_S16,,21.002250,105.861307,,
04_2_S17,STOP_04_2_S17,,21.005667,105.860924,,
04_2_S18,STOP_04_2_S18,,21.012617,105.858541,,
04_2_S19,STOP_04_2_S19,,21.015783,105.856540,,
04_2_S20,STOP_04_2_S20,,21.019033,105.855107,,
04_2_S21,STOP_04_2_S21,,21.023900,105.856657,,
04_2_S22,STOP_04_2_S22,,21.026983,105.856057,,
04_2_S23,STOP_04_2_S23,,21.032231,105.855512,,
04_2_S24,STOP_04_2_S24,,21.034833,105.854540,,
04_2_S25,STOP_04_2_S25,,21.041732,105.849307,,
04_2_S26,STOP_04_2_S26,,21.042899,105.848073,,
05_1_S1,STOP_05_1_S1,,20.963618,105.830341,,
05_1_S2,STOP_05_1_S2,,20.963833,105.830239,,
05_1_S3,STOP_05_1_S3,,20.965184,105.831108,,
05_1_S4,STOP_05_1_S4,,20.965251,105.826491,,
05_1_S5,STOP_05_1_S5,,20.967468,105.826341,,
05_1_S6,STOP_05_1_S6,,20.970788,105.825858,,
05_1_S7,STOP_05_1_S7,,20.973068,105.824624,,
05_1_S8,STOP_05_1_S8,,20.978851,105.822158,,
05_1_S9,STOP_05_1_S9,,20.979751,105.819941,,
05_1_S10,STOP_05_1_S10,,20.985767,105.813758,,
05_1_S11,STOP_05_1_S11,,20.991600,105.813275,,
05_1_S12,STOP_05_1_S12,,20.994934,105.814258,,
05_1_S13,STOP_05_1_S13,,20.996184,105.809091,,
05_1_S14,STOP_05_1_S14,,20.995817,105.805358,,
05_1_S15,STOP_05_1_S15,,21.000533,105.801675,,
05_1_S16,STOP_05_1_S16,,21.003117,105.799625,,
05_1_S17,STOP_05_1_S17,,21.006950,105.796608,,
05_1_S18,STOP_05_1_S18,,21.010953,105.793188,,
05_1_S19,STOP_05_1_S19,,21.014033,105.794925,,
05_1_S20,STOP_05_1_S20,,21.016567,105.794309,,
05_1_S21,STOP_05_1_S21,,21.022272,105.790744,,
05_1_S22,STOP_05_1_S22,,21.025551,105.788824,,
05_1_S23,STOP_05_1_S23,,21.028333,105.784692,,
05_1_S24,STOP_05_1_S24,,21.028966,105.780675,,
05_1_S25,STOP_05_1_S25,,21.029286,105.777965,,
05_1_S26,STOP_05_1_S26,,21.031279,105.774533,,
05_1_S27,STOP_05_1_S27,,21.033616,105.770576,,
05_1_S28,STOP_05_1_S28,,21.034666,105.766676,,
05_1_S29,STOP_05_1_S29,,21.040382,105.766326,,
05_1_S30,STOP_05_1_S30,,21.046982,105.762926,,
05_1_S31,STOP_05_1_S31,,21.051266,105.763442,,
05_1_S32,STOP_05_1_S32,,21.054165,105.763709,,
05_1_S33,STOP_05_1_S33,,21.059515,105.764576,,
05_2_S1,STOP_05_2_S1,,21.059515,105.764576,,
05_2_S2,STOP_05_2_S2,,21.054315,105.763726,,
05_2_S3,STOP_05_2_S3,,21.051716,105.763492,,
05_2_S4,STOP_05_2_S4,,21.047516,105.762609,,
05_2_S5,STOP_05_2_S5,,21.040252,105.765875,,
05_2_S6,STOP_05_2_S6,,21.034349,105.766809,,
05_2_S7,STOP_05_2_S7,,21.033371,105.770671,,
05_2_S8,STOP_05_2_S8,,21.031099,105.774376,,
05_2_S9,STOP_05_2_S9,,21.029066,105.778292,,
05_2_S10,STOP_05_2_S10,,21.028549,105.781592,,
05_2_S11,STOP_05_2_S11,,21.026699,105.787825,,
05_2_S12,STOP_05_2_S12,,21.022333,105.790509,,
05_2_S13,STOP_05_2_S13,,21.016316,105.794175,,
05_2_S14,STOP_05_2_S14,,21.013766,105.794308,,
05_2_S15,STOP_05_2_S15,,21.010933,105.793142,,
05_2_S16,STOP_05_2_S16,,21.006656,105.796721,,
05_2_S17,STOP_05_2_S17,,21.003486,105.799278,,
05_2_S18,STOP_05_2_S18,,21.000417,105.801609,,
05_2_S19,STOP_05_2_S19,,20.996617,105.804592,,
05_2_S20,STOP_05_2_S20,,20.993834,105.805641,,
05_2_S21,STOP_05_2_S21,,20.995634,105.808925,,
05_2_S22,STOP_05_2_S22,,20.993600,105.806075,,
05_2_S23,STOP_05_2_S23,,20.996317,105.813741,,
05_2_S24,STOP_05_2_S24,,20.992184,105.813375,,
05_2_S25,STOP_05_2_S25,,20.984851,105.814158,,
05_2_S26,STOP_05_2_S26,,20.979834,105.819508,,
05_2_S27,STOP_05_2_S27,,20.978251,105.823091,,
05_2_S28,STOP_05_2_S28,,20.972668,105.824391,,
05_2_S29,STOP_05_2_S29,,20.970368,105.825924,,
05_2_S30,STOP_05_2_S30,,20.965113,105.826138,,
05_2_S31,STOP_05_2_S31,,20.963833,105.830239,,
05_2_S32,STOP_05_2_S32,,20.963618,105.830341,,
06A_1_S1,STOP_06A_1_S1,,20.980201,105.841458,,
06A_1_S2,STOP_06A_1_S2,,20.980634,105.840691,,
06A_1_S3,STOP_06A_1_S3,,20.976517,105.840624,,
06A_1_S4,STOP_06A_1_S4,,20.972034,105.840607,,
06A_1_S5,STOP_06A_1_S5,,20.965128,105.841673,,
06A_1_S6,STOP_06A_1_S6,,20.960314,105.842027,,
06A_1_S7,STOP_06A_1_S7,,20.955235,105.843057,,
06A_1_S8,STOP_06A_1_S8,,20.952385,105.843657,,
06A_1_S9,STOP_06A_1_S9,,20.946802,105.844007,,
06A_1_S10,STOP_06A_1_S10,,20.942535,105.843707,,
06A_1_S11,STOP_06A_1_S11,,20.939152,105.844124,,
06A_1_S12,STOP_06A_1_S12,,20.935552,105.845574,,
06A_1_S13,STOP_06A_1_S13,,20.932435,105.846807,,
06A_1_S14,STOP_06A_1_S14,,20.927052,105.849141,,
06A_1_S15,STOP_06A_1_S15,,20.923319,105.851441,,
06A_1_S16,STOP_06A_1_S16,,20.918917,105.852148,,
06A_1_S17,STOP_06A_1_S17,,20.912486,105.852224,,
06A_1_S18,STOP_06A_1_S18,,20.907769,105.852491,,
06A_1_S19,STOP_06A_1_S19,,20.903636,105.852941,,
06A_1_S20,STOP_06A_1_S20,,20.893803,105.855907,,
